,arc_llama3_8b_instruct,arc_llama_3_8b,arc_phi3_5,arc_gemma2_9b_instruct,arc_gemma2_9b,agnews_gemma2_9b_instruct,agnews_gemma2_9b,agnews_llama3_8b_instruct,agnews_llama_3_8b,agnews_phi3_5
"datamap_[0, 0, 3]_E-A-H",0.7960750853242321,0.7167235494880546,0.8583617747440273,0.9001706484641638,0.8839590443686007,0.8515358361774744,0.8506825938566553,0.8242320819112628,0.8208191126279863,0.7832764505119454
"datamap_[0, 0, 6]_E-A-H",0.8054607508532423,0.7329351535836177,0.8668941979522184,0.9035836177474402,0.8890784982935154,0.8600682593856656,0.8677474402730375,0.8387372013651877,0.8361774744027304,0.7977815699658704
"datamap_[0, 3, 0]_E-A-H",0.8046075085324232,0.7457337883959044,0.8703071672354948,0.9052901023890784,0.8848122866894198,0.8532423208191127,0.8506825938566553,0.8276450511945392,0.7943686006825939,0.7926621160409556
"datamap_[0, 6, 0]_E-A-H",0.7994880546075085,0.7448805460750854,0.8626279863481229,0.8984641638225256,0.8882252559726962,0.856655290102389,0.8660409556313993,0.8387372013651877,0.8276450511945392,0.7849829351535836
"datamap_[1, 1, 1]_A-E-H",0.8080204778156996,0.7619453924914675,0.8668941979522184,0.9035836177474402,0.8856655290102389,0.8549488054607508,0.8472696245733788,0.8319112627986348,0.802901023890785,0.7977815699658704
"datamap_[1, 1, 1]_A-H-E",0.8037542662116041,0.7627986348122867,0.8694539249146758,0.9044368600682594,0.8831058020477816,0.863481228668942,0.8464163822525598,0.825938566552901,0.810580204778157,0.7909556313993175
"datamap_[1, 1, 1]_E-A-H",0.8088737201365188,0.7602389078498294,0.8677474402730375,0.9035836177474402,0.8856655290102389,0.8455631399317406,0.8549488054607508,0.8191126279863481,0.810580204778157,0.7935153583617748
"datamap_[1, 1, 1]_E-H-A",0.8114334470989761,0.765358361774744,0.8694539249146758,0.9061433447098975,0.8848122866894198,0.8523890784982935,0.8600682593856656,0.8191126279863481,0.8046075085324232,0.7858361774744027
"datamap_[1, 1, 1]_H-A-E",0.8080204778156996,0.765358361774744,0.8677474402730375,0.9027303754266212,0.886518771331058,0.8592150170648464,0.85580204778157,0.8250853242320819,0.8037542662116041,0.7952218430034129
"datamap_[1, 1, 1]_H-E-A",0.8148464163822525,0.773037542662116,0.8703071672354948,0.9052901023890784,0.8848122866894198,0.8540955631399317,0.856655290102389,0.8242320819112628,0.8071672354948806,0.7849829351535836
"datamap_[2, 2, 2]_A-E-H",0.8071672354948806,0.7508532423208191,0.8694539249146758,0.9052901023890784,0.8899317406143344,0.856655290102389,0.863481228668942,0.8395904436860068,0.8319112627986348,0.8011945392491467
"datamap_[2, 2, 2]_A-H-E",0.8020477815699659,0.75,0.8728668941979523,0.8984641638225256,0.8950511945392492,0.856655290102389,0.8609215017064846,0.841296928327645,0.8276450511945392,0.7977815699658704
"datamap_[2, 2, 2]_E-A-H",0.810580204778157,0.7440273037542662,0.8626279863481229,0.9027303754266212,0.8882252559726962,0.8592150170648464,0.8506825938566553,0.8319112627986348,0.8293515358361775,0.8020477815699659
"datamap_[2, 2, 2]_E-H-A",0.810580204778157,0.75,0.8686006825938567,0.9027303754266212,0.893344709897611,0.85580204778157,0.8592150170648464,0.825938566552901,0.8319112627986348,0.802901023890785
