,agnews_gemma2_9b_instruct,agnews_gemma2_9b,agnews_llama3_8b_instruct,agnews_llama_3_8b,agnews_phi3_5
random_0,0.8703071672354948,0.8310580204778157,,,
random_3,0.8583617747440273,0.8549488054607508,,,
random_6,0.8515358361774744,0.8728668941979523,,,
similarity_0,0.8703071672354948,0.8310580204778157,,,
similarity_3,0.856655290102389,0.8532423208191127,,,
similarity_6,0.8745733788395904,0.8489761092150171,,,
"datamap_[1, 1, 1]_E-A-H",,,0.8191126279863481,0.810580204778157,0.7935153583617748
"datamap_[3, 0, 0]_E-A-H",,,0.8395904436860068,0.8148464163822525,0.7790102389078498
"datamap_[0, 3, 0]_E-A-H",,,0.8276450511945392,0.7943686006825939,0.7926621160409556
"datamap_[0, 0, 3]_E-A-H",,,0.8242320819112628,0.8208191126279863,0.7832764505119454
"datamap_[2, 2, 2]_E-A-H",,,0.8319112627986348,0.8293515358361775,0.8020477815699659
"datamap_[6, 0, 0]_E-A-H",,,0.8549488054607508,0.8378839590443686,0.802901023890785
"datamap_[0, 6, 0]_E-A-H",,,0.8387372013651877,0.8276450511945392,0.7849829351535836
"datamap_[0, 0, 6]_E-A-H",,,0.8387372013651877,0.8361774744027304,0.7977815699658704
"datamap_[1, 1, 1]_E-H-A",,,0.8191126279863481,0.8046075085324232,0.7858361774744027
"datamap_[2, 2, 2]_E-H-A",,,0.825938566552901,0.8319112627986348,0.802901023890785
"datamap_[1, 1, 1]_A-E-H",,,0.8319112627986348,0.802901023890785,0.7977815699658704
"datamap_[2, 2, 2]_A-E-H",,,0.8395904436860068,0.8319112627986348,0.8011945392491467
"datamap_[1, 1, 1]_A-H-E",,,0.825938566552901,0.810580204778157,0.7909556313993175
"datamap_[2, 2, 2]_A-H-E",,,0.841296928327645,0.8276450511945392,0.7977815699658704
"datamap_[1, 1, 1]_H-E-A",,,0.8242320819112628,0.8071672354948806,0.7849829351535836
"datamap_[2, 2, 2]_H-E-A",,,0.8370307167235495,0.8250853242320819,0.8003412969283277
"datamap_[1, 1, 1]_H-A-E",,,0.8250853242320819,0.8037542662116041,0.7952218430034129
"datamap_[2, 2, 2]_H-A-E",,,0.825938566552901,0.8310580204778157,0.802901023890785
"datamap_similarity_[1, 1, 1]_E-A-H",,,0.8609215017064846,0.8370307167235495,0.8276450511945392
"datamap_similarity_[3, 0, 0]_E-A-H",,,0.8498293515358362,0.8233788395904437,0.8387372013651877
"datamap_similarity_[0, 3, 0]_E-A-H",,,0.8549488054607508,0.8191126279863481,0.8267918088737202
"datamap_similarity_[0, 0, 3]_E-A-H",,,0.8370307167235495,0.825938566552901,0.8122866894197952
"datamap_similarity_[2, 2, 2]_E-A-H",,,0.8583617747440273,0.8336177474402731,0.8302047781569966
"datamap_similarity_[6, 0, 0]_E-A-H",,,0.8532423208191127,0.8370307167235495,0.8302047781569966
"datamap_similarity_[0, 6, 0]_E-A-H",,,0.8506825938566553,0.8242320819112628,0.8080204778156996
"datamap_similarity_[0, 0, 6]_E-A-H",,,0.8284982935153583,0.8421501706484642,0.8037542662116041
"datamap_similarity_[1, 1, 1]_E-H-A",,,0.8609215017064846,0.8293515358361775,0.8310580204778157
"datamap_similarity_[2, 2, 2]_E-H-A",,,0.8617747440273038,0.8344709897610921,0.8250853242320819
"datamap_similarity_[1, 1, 1]_A-E-H",,,0.8600682593856656,0.8284982935153583,0.8225255972696246
"datamap_similarity_[2, 2, 2]_A-E-H",,,0.856655290102389,0.8302047781569966,0.8233788395904437
"datamap_similarity_[1, 1, 1]_A-H-E",,,0.8651877133105802,0.8336177474402731,0.8370307167235495
"datamap_similarity_[2, 2, 2]_A-H-E",,,0.8643344709897611,0.8336177474402731,0.8327645051194539
"datamap_similarity_[1, 1, 1]_H-E-A",,,0.8592150170648464,0.8250853242320819,
"datamap_similarity_[2, 2, 2]_H-E-A",,,0.8617747440273038,0.8370307167235495,
"datamap_similarity_[1, 1, 1]_H-A-E",,,0.8643344709897611,0.8276450511945392,
"datamap_similarity_[2, 2, 2]_H-A-E",,,0.8626279863481229,0.825938566552901,
