,agnews_gemma2_9b_instruct,agnews_gemma2_9b
"datamap_[1, 1, 1]_E-A-H",0.8455631399317406,0.8549488054607508
"datamap_[3, 0, 0]_E-A-H",0.8489761092150171,0.8464163822525598
"datamap_[0, 3, 0]_E-A-H",0.8532423208191127,0.8506825938566553
"datamap_[0, 0, 3]_E-A-H",0.8515358361774744,0.8506825938566553
"datamap_[2, 2, 2]_E-A-H",0.8592150170648464,0.8506825938566553
"datamap_[6, 0, 0]_E-A-H",0.8609215017064846,0.85580204778157
"datamap_[0, 6, 0]_E-A-H",0.856655290102389,0.8660409556313993
"datamap_[0, 0, 6]_E-A-H",0.8600682593856656,0.8677474402730375
"datamap_[1, 1, 1]_E-H-A",0.8523890784982935,0.8600682593856656
"datamap_[2, 2, 2]_E-H-A",0.85580204778157,0.8592150170648464
"datamap_[1, 1, 1]_A-E-H",0.8549488054607508,0.8472696245733788
"datamap_[2, 2, 2]_A-E-H",0.856655290102389,0.863481228668942
"datamap_[1, 1, 1]_A-H-E",0.863481228668942,0.8464163822525598
"datamap_[2, 2, 2]_A-H-E",0.856655290102389,0.8609215017064846
"datamap_[1, 1, 1]_H-E-A",0.8540955631399317,0.856655290102389
"datamap_[2, 2, 2]_H-E-A",0.8626279863481229,0.8506825938566553
"datamap_[1, 1, 1]_H-A-E",0.8592150170648464,0.85580204778157
"datamap_[2, 2, 2]_H-A-E",0.8660409556313993,0.8540955631399317
"datamap_similarity_[1, 1, 1]_E-A-H",0.8728668941979523,0.8583617747440273
"datamap_similarity_[3, 0, 0]_E-A-H",0.8583617747440273,0.8472696245733788
"datamap_similarity_[0, 3, 0]_E-A-H",0.8643344709897611,0.8447098976109215
"datamap_similarity_[0, 0, 3]_E-A-H",0.8651877133105802,0.8506825938566553
"datamap_similarity_[2, 2, 2]_E-A-H",0.8822525597269625,0.8549488054607508
"datamap_similarity_[6, 0, 0]_E-A-H",0.8720136518771331,0.8523890784982935
"datamap_similarity_[0, 6, 0]_E-A-H",0.8643344709897611,0.8387372013651877
"datamap_similarity_[0, 0, 6]_E-A-H",0.8771331058020477,0.8626279863481229
"datamap_similarity_[1, 1, 1]_E-H-A",0.8600682593856656,0.8481228668941979
"datamap_similarity_[2, 2, 2]_E-H-A",0.8813993174061433,0.8506825938566553
"datamap_similarity_[1, 1, 1]_A-E-H",0.8651877133105802,0.8575085324232082
"datamap_similarity_[2, 2, 2]_A-E-H",0.8822525597269625,0.8592150170648464
"datamap_similarity_[1, 1, 1]_A-H-E",0.8686006825938567,0.8523890784982935
"datamap_similarity_[2, 2, 2]_A-H-E",0.8856655290102389,0.8532423208191127
"datamap_similarity_[1, 1, 1]_H-E-A",0.8617747440273038,0.8464163822525598
"datamap_similarity_[2, 2, 2]_H-E-A",0.886518771331058,0.8540955631399317
"datamap_similarity_[1, 1, 1]_H-A-E",0.8583617747440273,0.8472696245733788
"datamap_similarity_[2, 2, 2]_H-A-E",0.8839590443686007,0.8540955631399317
