,arc_llama3_8b_instruct,arc_llama_3_8b,arc_phi3_5,arc_gemma2_9b_instruct,arc_gemma2_9b
"datamap_[1, 1, 1]_E-A-H",0.8088737201365188,0.7602389078498294,0.8677474402730375,0.9035836177474402,0.8856655290102389
"datamap_[3, 0, 0]_E-A-H",0.7892491467576792,0.7431740614334471,0.8728668941979523,0.8993174061433447,0.8813993174061433
"datamap_[0, 3, 0]_E-A-H",0.8046075085324232,0.7457337883959044,0.8703071672354948,0.9052901023890785,0.8848122866894198
"datamap_[0, 0, 3]_E-A-H",0.7960750853242321,0.7167235494880546,0.8583617747440273,0.9001706484641638,0.8839590443686007
"datamap_[2, 2, 2]_E-A-H",0.810580204778157,0.7440273037542662,0.8626279863481229,0.9027303754266212,0.8882252559726962
"datamap_[6, 0, 0]_E-A-H",0.8063139931740614,0.757679180887372,0.8686006825938567,0.8976109215017065,0.8916382252559727
"datamap_[0, 6, 0]_E-A-H",0.7994880546075085,0.7448805460750854,0.8626279863481229,0.8984641638225256,0.8882252559726962
"datamap_[0, 0, 6]_E-A-H",0.8054607508532423,0.7329351535836177,0.8668941979522184,0.9035836177474402,0.8890784982935154
"datamap_[1, 1, 1]_E-H-A",0.8114334470989761,0.765358361774744,0.8694539249146758,0.9061433447098977,0.8848122866894198
"datamap_[2, 2, 2]_E-H-A",0.810580204778157,0.75,0.8686006825938567,0.9027303754266212,0.893344709897611
"datamap_[1, 1, 1]_A-E-H",0.8080204778156996,0.7619453924914675,0.8668941979522184,0.9035836177474402,0.8856655290102389
"datamap_[2, 2, 2]_A-E-H",0.8071672354948806,0.7508532423208191,0.8694539249146758,0.9052901023890785,0.8899317406143344
"datamap_[1, 1, 1]_A-H-E",0.8037542662116041,0.7627986348122867,0.8694539249146758,0.9044368600682594,0.8831058020477816
"datamap_[2, 2, 2]_A-H-E",0.8020477815699659,0.75,0.8728668941979523,0.8984641638225256,0.8950511945392492
"datamap_[1, 1, 1]_H-E-A",0.8148464163822525,0.773037542662116,0.8703071672354948,0.9052901023890785,0.8848122866894198
"datamap_[2, 2, 2]_H-E-A",0.8080204778156996,0.7593856655290102,0.8703071672354948,0.8993174061433447,0.8993174061433447
"datamap_[1, 1, 1]_H-A-E",0.8080204778156996,0.765358361774744,0.8677474402730375,0.9027303754266212,0.886518771331058
"datamap_[2, 2, 2]_H-A-E",0.8054607508532423,0.7559726962457338,0.8703071672354948,0.8984641638225256,0.8950511945392492
"datamap_similarity_[1, 1, 1]_E-A-H",0.8165529010238908,0.7670648464163823,0.8617747440273038,0.8976109215017065,0.89419795221843
"datamap_similarity_[3, 0, 0]_E-A-H",0.8020477815699659,0.7508532423208191,0.863481228668942,0.9018771331058021,0.8916382252559727
"datamap_similarity_[0, 3, 0]_E-A-H",0.8080204778156996,0.742320819112628,0.8737201365187713,0.8950511945392492,0.89419795221843
"datamap_similarity_[0, 0, 3]_E-A-H",0.8156996587030717,0.7295221843003413,0.863481228668942,0.9001706484641638,0.893344709897611
"datamap_similarity_[2, 2, 2]_E-A-H",0.8284982935153583,0.7696245733788396,0.8660409556313993,0.9061433447098977,0.9001706484641638
"datamap_similarity_[6, 0, 0]_E-A-H",0.818259385665529,0.7704778156996587,0.863481228668942,0.8950511945392492,0.8924914675767918
"datamap_similarity_[0, 6, 0]_E-A-H",0.8037542662116041,0.7662116040955631,0.8737201365187713,0.8976109215017065,0.8899317406143344
"datamap_similarity_[0, 0, 6]_E-A-H",0.8148464163822525,0.75,0.8617747440273038,0.9061433447098977,0.8916382252559727
"datamap_similarity_[1, 1, 1]_E-H-A",0.8122866894197952,0.7738907849829352,0.8686006825938567,0.9044368600682594,0.8967576791808873
"datamap_similarity_[2, 2, 2]_E-H-A",0.8191126279863481,0.7551194539249146,0.8762798634812287,0.9044368600682594,0.8959044368600683
"datamap_similarity_[1, 1, 1]_A-E-H",0.8174061433447098,0.764505119453925,0.8609215017064846,0.9001706484641638,0.8924914675767918
"datamap_similarity_[2, 2, 2]_A-E-H",0.8199658703071673,0.7619453924914675,0.8617747440273038,0.9078498293515358,0.8959044368600683
"datamap_similarity_[1, 1, 1]_A-H-E",0.8191126279863481,0.7627986348122867,0.856655290102389,0.9001706484641638,0.8916382252559727
"datamap_similarity_[2, 2, 2]_A-H-E",0.8148464163822525,0.7627986348122867,0.8600682593856656,0.9001706484641638,0.893344709897611
"datamap_similarity_[1, 1, 1]_H-E-A",0.8165529010238908,0.773037542662116,0.8686006825938567,0.9044368600682594,0.89419795221843
"datamap_similarity_[2, 2, 2]_H-E-A",0.8250853242320819,0.7610921501706485,0.8737201365187713,0.9018771331058021,0.8993174061433447
"datamap_similarity_[1, 1, 1]_H-A-E",0.8225255972696246,0.7610921501706485,0.8600682593856656,0.9001706484641638,0.893344709897611
"datamap_similarity_[2, 2, 2]_H-A-E",0.8233788395904437,0.7636518771331058,0.8540955631399317,0.8967576791808873,0.8950511945392492
